
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH1, 37, 20, 15, 54, 0.05045342445373535,0,,2 5 7 6 1 4 3 0
gbfsH1, 38, 28, 19, 65, 0.06115007400512695,0,,7 5 4 1 3 0 2 6
gbfsH1, 39, 26, 18, 52, 0.04474663734436035,0,,6 5 0 2 7 1 4 3
gbfsH1, 40, 27, 17, 152, 0.2751479148864746,0,,4 7 2 5 3 1 6 0
gbfsH1, 41, 21, 15, 44, 0.030086040496826172,0,,0 1 4 2 6 3 7 5
gbfsH1, 42, 31, 19, 35, 0.020276546478271484,0,,7 6 2 3 0 1 4 5
gbfsH1, 43, 25, 17, 50, 0.04035806655883789,0,,0 1 7 4 3 5 2 6
gbfsH1, 44, 32, 20, 117, 0.20243239402770996,0,,2 3 6 0 5 7 1 4
gbfsH1, 45, 31, 19, 116, 0.19228363037109375,0,,6 0 5 2 7 4 3 1
gbfsH1, 46, 38, 20, 104, 0.14203262329101562,0,,4 6 2 5 7 1 0 3
gbfsH1, 47, 24, 17, 37, 0.022274017333984375,0,,7 6 4 2 0 5 1 3
gbfsH1, 48, 15, 10, 18, 0.009580612182617188,0,,4 0 5 1 6 2 7 3
gbfsH1, 49, 28, 19, 155, 0.29697322845458984,0,,2 7 5 6 1 3 4 0
Total-gbfsH1, , 1223,790, 3266, 4.134909152984619,0
Average-gbfsH1, , 24.46,15.8, 65.32, 0.08269818305969238,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH2, 0, 32, 19, 47, 0.10110235214233398,0,,0 7 1 4 3 5 6 2
gbfsH2, 1, 23, 14, 43, 0.08165478706359863,0,,3 1 2 4 6 5 7 0
gbfsH2, 2, 34, 22, 51, 0.10366082191467285,0,,7 2 4 3 1 0 6 5
gbfsH2, 3, 15, 13, 20, 0.030418872833251953,0,,6 1 3 2 7 5 0 4
gbfsH2, 4, 34, 22, 52, 0.11186575889587402,0,,7 6 2 3 1 0 4 5
gbfsH2, 5, 34, 22, 59, 0.12410426139831543,0,,1 6 7 5 0 3 2 4
gbfsH2, 6, 27, 17, 26, 0.04985547065734863,0,,5 0 1 6 7 3 4 2
gbfsH2, 7, 17, 10, 35, 0.08246397972106934,0,,5 2 3 7 1 4 6 0
gbfsH2, 8, 26, 16, 47, 0.09663653373718262,0,,4 0 2 3 7 1 6 5
gbfsH2, 9, 26, 17, 45, 0.08894610404968262,0,,5 3 1 7 6 4 2 0
gbfsH2, 10, 31, 20, 41, 0.0898287296295166,0,,6 7 1 4 0 3 5 2
gbfsH2, 11, 25, 15, 46, 0.09126853942871094,0,,2 1 4 3 5 7 0 6
gbfsH2, 12, 27, 18, 33, 0.06087183952331543,0,,7 0 1 6 3 2 4 5
gbfsH2, 13, 18, 12, 18, 0.022262096405029297,0,,5 1 0 6 7 3 4 2
gbfsH2, 14, 31, 16, 42, 0.08292508125305176,0,,0 2 1 3 6 5 4 7
gbfsH2, 15, 11, 8, 15, 0.02220630645751953,0,,6 3 7 1 4 0 5 2
gbfsH2, 16, 28, 18, 53, 0.10677242279052734,0,,3 7 4 1 0 2 6 5
gbfsH2, 17, 14, 9, 15, 0.02023148536682129,0,,5 3 6 0 2 1 4 7
gbfsH2, 18, 30, 19, 46, 0.1112358570098877,0,,4 1 0 6 7 2 3 5
gbfsH2, 19, 21, 15, 30, 0.07281231880187988,0,,7 5 3 0 2 6 4 1
gbfsH2, 20, 21, 12, 38, 0.08322644233703613,0,,5 2 3 0 6 1 7 4
gbfsH2, 21, 24, 15, 41, 0.07831382751464844,0,,0 5 3 1 2 7 6 4
gbfsH2, 22, 8, 8, 8, 0.010006904602050781,0,,3 5 7 2 1 4 0 6
gbfsH2, 23, 24, 15, 42, 0.09372997283935547,0,,5 3 7 1 2 6 0 4
gbfsH2, 24, 32, 18, 59, 0.13148975372314453,0,,5 2 0 6 4 3 7 1
gbfsH2, 25, 29, 17, 54, 0.11585664749145508,0,,0 2 6 5 1 3 7 4
gbfsH2, 26, 38, 24, 73, 0.16920804977416992,0,,6 4 5 3 0 7 2 1
gbfsH2, 27, 31, 21, 54, 0.11060118675231934,0,,7 1 4 2 6 5 0 3
gbfsH2, 28, 19, 13, 26, 0.05022406578063965,0,,1 4 5 3 6 2 7 0
gbfsH2, 29, 23, 13, 36, 0.0703730583190918,0,,4 5 3 2 6 1 7 0
gbfsH2, 30, 30, 20, 49, 0.09902596473693848,0,,7 6 3 0 1 2 4 5
gbfsH2, 31, 13, 10, 10, 0.014188766479492188,0,,1 0 5 6 7 2 3 4
gbfsH2, 32, 17, 13, 15, 0.02020716667175293,0,,5 6 0 2 3 1 7 4
gbfsH2, 33, 23, 15, 42, 0.08078670501708984,0,,1 6 5 7 0 4 3 2
gbfsH2, 34, 21, 14, 28, 0.05062270164489746,0,,5 3 1 7 6 0 2 4
gbfsH2, 35, 22, 14, 36, 0.07294583320617676,0,,6 1 3 4 0 5 2 7
gbfsH2, 36, 31, 21, 48, 0.08811664581298828,0,,0 4 5 7 6 3 1 2
gbfsH2, 37, 27, 17, 49, 0.10674190521240234,0,,2 5 7 6 1 4 3 0
gbfsH2, 38, 39, 21, 70, 0.16257405281066895,0,,7 5 4 1 3 0 2 6
gbfsH2, 39, 26, 18, 28, 0.050876617431640625,0,,6 5 0 2 7 1 4 3
gbfsH2, 40, 32, 19, 43, 0.08461165428161621,0,,4 7 2 5 3 1 6 0
gbfsH2, 41, 21, 15, 38, 0.08461618423461914,0,,0 1 4 2 6 3 7 5
gbfsH2, 42, 35, 23, 53, 0.11689162254333496,0,,7 6 2 3 0 1 4 5
gbfsH2, 43, 16, 13, 22, 0.03124213218688965,0,,0 1 7 4 3 5 2 6
gbfsH2, 44, 25, 16, 44, 0.09773707389831543,0,,2 3 6 0 5 7 1 4
gbfsH2, 45, 31, 19, 50, 0.1002340316772461,0,,6 0 5 2 7 4 3 1
gbfsH2, 46, 30, 20, 47, 0.10162091255187988,0,,4 6 2 5 7 1 0 3
gbfsH2, 47, 24, 17, 29, 0.05137062072753906,0,,7 6 4 2 0 5 1 3
gbfsH2, 48, 24, 14, 22, 0.04686450958251953,0,,4 0 5 1 6 2 7 3
gbfsH2, 49, 18, 13, 17, 0.022126197814941406,0,,2 7 5 6 1 3 4 0
Total-gbfsH2, , 1258,810, 1935, 3.94755482673645,0
Average-gbfsH2, , 25.16,16.2, 38.7, 0.07895109653472901,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH1, 0, 15, 13, 970, 10.321118593215942,0,,0 7 1 4 3 5 6 2
astarH1, 1, 12, 10, 314, 1.2770054340362549,0,,3 1 2 4 6 5 7 0
astarH1, 2, 13, 10, 364, 1.524890661239624,0,,7 2 4 3 1 0 6 5
astarH1, 3, 15, 13, 975, 10.660330057144165,0,,6 1 3 2 7 5 0 4
astarH1, 4, 13, 10, 316, 1.2017958164215088,0,,7 6 2 3 1 0 4 5
astarH1, 5, 13, 10, 395, 1.9157259464263916,0,,1 6 7 5 0 3 2 4
astarH1, 6, 14, 11, 376, 1.6269052028656006,0,,5 0 1 6 7 3 4 2
astarH1, 7, 10, 8, 126, 0.20984244346618652,0,,5 2 3 7 1 4 6 0
astarH1, 8, 14, 12, 566, 4.251000881195068,0,,4 0 2 3 7 1 6 5
astarH1, 9, 15, 15, 2081, 43.56569147109985,0,,5 3 1 7 6 4 2 0
astarH1, 10, 15, 14, 846, 8.43383264541626,0,,6 7 1 4 0 3 5 2
astarH1, 11, 14, 13, 1213, 16.77000856399536,0,,2 1 4 3 5 7 0 6
astarH1, 12, 14, 14, 887, 9.049728155136108,0,,7 0 1 6 3 2 4 5
astarH1, 13, 13, 10, 176, 0.3915550708770752,0,,5 1 0 6 7 3 4 2
astarH1, 14, 0, 0, 2395, 60.03938555717468,1,,0 2 1 3 6 5 4 7
